Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	26.09.2017 14:45:24	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎26T07:45:24.111050600Z на ‎2017‎-‎09‎-‎26T07:45:24.105000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	26.09.2017 12:00:00	EventLog	6013	Отсутствует	Время работоспособного состояния 1090531 сек.
Сведения	26.09.2017 11:59:57	EventLog	6013	Отсутствует	Время работоспособного состояния 1090528 сек.
Сведения	26.09.2017 10:52:53	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9WZDNCRFJ3PT-Microsoft.ZuneMusic
Сведения	26.09.2017 10:52:53	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9WZDNCRFJ3PT-Microsoft.ZuneMusic
Сведения	26.09.2017 10:52:50	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\Microsoft.ZuneMusic_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 2; создано измененных страниц: 1.
Сведения	26.09.2017 10:52:46	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneMusic_10.17072.16431.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	26.09.2017 10:52:22	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	26.09.2017 4:32:54	Microsoft-Windows-Time-Service	35	Отсутствует	Служба времени выполняет синхронизацию системного времени с источником времени time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.140.127.197:123).
Сведения	26.09.2017 4:32:45	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.140.127.197:123).
Предупреждение	26.09.2017 3:39:04	Microsoft-Windows-DNS-Client	1014	(1014)	Разрешение имен для имени api.github.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение	26.09.2017 3:28:48	Microsoft-Windows-DNS-Client	1014	(1014)	Разрешение имен для имени ws.gitter.im истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение	26.09.2017 3:28:04	Microsoft-Windows-DNS-Client	1014	(1014)	Разрешение имен для имени api.github.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение	26.09.2017 2:54:40	Microsoft-Windows-DNS-Client	1014	(1014)	Разрешение имен для имени api.github.com истекло после отсутствия ответа от настроенных серверов DNS.
Сведения	25.09.2017 19:26:37	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.79.239.69:123).
Ошибка	25.09.2017 19:26:36	Microsoft-Windows-DistributedCOM	10016	Отсутствует	"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 и APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 пользователю NT AUTHORITY\СИСТЕМА с ИД безопасности (S-1-5-18) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения	25.09.2017 19:26:34	Microsoft-Windows-Power-Troubleshooter	1	Отсутствует	"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2017‎-‎09‎-‎25T08:17:02.060197300Z
Время выхода из спящего режима: ‎2017‎-‎09‎-‎25T12:26:30.154297700Z

Источник выхода: Устройство -USB Root Hub"
Предупреждение	25.09.2017 19:26:31	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
Предупреждение	25.09.2017 19:26:29	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
